Name,Code,State,Local,RTA,Rate,Effective Date,Expiration Date
TULALIP TRIBES - MARYSVILLE,3121,0.065,0.029,0,0.094,20230401,20230630
STILLAGUAMISH TRIBE - ARLINGTON,3123,0.065,0.028,0,0.093,20230401,20230630
STILLAGUAMISH TRIBE - MARYSVILLE,3125,0.065,0.029,0,0.094,20230401,20230630
SNOHOMISH-PTBA RTA,3131,0.065,0.04,0,0.105,20230401,20230630
SPOKANE COUNTY,3200,0.065,0.016,0,0.081,20230401,20230630
AIRWAY HEIGHTS,3201,0.065,0.026,0,0.091,20230401,20230630
CHENEY,3202,0.065,0.024,0,0.089,20230401,20230630
DEER PARK,3203,0.065,0.016,0,0.081,20230401,20230630
FAIRFIELD,3204,0.065,0.016,0,0.081,20230401,20230630
LATAH,3205,0.065,0.016,0,0.081,20230401,20230630
MEDICAL LAKE,3206,0.065,0.024,0,0.089,20230401,20230630
MILLWOOD,3207,0.065,0.024,0,0.089,20230401,20230630
ROCKFORD,3208,0.065,0.016,0,0.081,20230401,20230630
SPANGLE,3209,0.065,0.016,0,0.081,20230401,20230630
SPOKANE CITY,3210,0.065,0.025,0,0.09,20230401,20230630
WAVERLY,3211,0.065,0.016,0,0.081,20230401,20230630
LIBERTY LAKE,3212,0.065,0.024,0,0.089,20230401,20230630
SPOKANE VALLEY,3213,0.065,0.024,0,0.089,20230401,20230630
KALISPEL TRIBE - AIRWAY HEIGHTS,3215,0.065,0.026,0,0.091,20230401,20230630
SPOKANE-PTBA,3232,0.065,0.024,0,0.089,20230401,20230630
STEVENS COUNTY,3300,0.065,0.011,0,0.076,20230401,20230630
CHEWELAH,3301,0.065,0.011,0,0.076,20230401,20230630
COLVILLE,3302,0.065,0.011,0,0.076,20230401,20230630
KETTLE FALLS,3303,0.065,0.011,0,0.076,20230401,20230630
MARCUS,3304,0.065,0.011,0,0.076,20230401,20230630
NORTHPORT,3305,0.065,0.011,0,0.076,20230401,20230630
SPRINGDALE,3306,0.065,0.011,0,0.076,20230401,20230630
THURSTON COUNTY,3400,0.065,0.016,0,0.081,20230401,20230630
BUCODA,3401,0.065,0.016,0,0.081,20230401,20230630
LACEY,3402,0.065,0.03,0,0.095,20230401,20230630
OLYMPIA,3403,0.065,0.03,0,0.095,20230401,20230630
RAINIER,3404,0.065,0.016,0,0.081,20230401,20230630
TENINO,3405,0.065,0.016,0,0.081,20230401,20230630
TUMWATER,3406,0.065,0.03,0,0.095,20230401,20230630
YELM,3407,0.065,0.028,0,0.093,20230401,20230630
CHEHALIS TRIBES - THURSTON COUNTY,3409,0.065,0.016,0,0.081,20230401,20230630
CHEHALIS TRIBES - TUMWATER,3411,0.065,0.03,0,0.095,20230401,20230630
SQUAXIN ISLAND TRIBE - THURSTON COUNTY,3413,0.065,0.016,0,0.081,20230401,20230630
NISQUALLY TRIBE - THURSTON COUNTY,3415,0.065,0.016,0,0.081,20230401,20230630
NISQUALLY TRIBE - THURSTON COUNTY PTBA,3417,0.065,0.028,0,0.093,20230401,20230630
NISQUALLY TRIBE - LACEY,3419,0.065,0.03,0,0.095,20230401,20230630
THURSTON-PTBA,3434,0.065,0.028,0,0.093,20230401,20230630
WAHKIAKUM COUNTY,3500,0.065,0.013,0,0.078,20230401,20230630
CATHLAMET,3501,0.065,0.013,0,0.078,20230401,20230630
WALLA WALLA COUNTY,3600,0.065,0.016,0,0.081,20230401,20230630
COLLEGE PLACE,3601,0.065,0.022,0,0.087,20230401,20230630
PRESCOTT,3602,0.065,0.016,0,0.081,20230401,20230630
WAITSBURG,3603,0.065,0.018,0,0.083,20230401,20230630
WALLA WALLA CITY,3604,0.065,0.024,0,0.089,20230401,20230630
WALLA WALLA-PTBA,3636,0.065,0.022,0,0.087,20230401,20230630
WHATCOM COUNTY,3700,0.065,0.015,0,0.08,20230401,20230630
BELLINGHAM,3701,0.065,0.023,0,0.088,20230401,20230630
BLAINE,3702,0.065,0.023,0,0.088,20230401,20230630
EVERSON,3703,0.065,0.021,0,0.086,20230401,20230630
FERNDALE,3704,0.065,0.023,0,0.088,20230401,20230630
LYNDEN,3705,0.065,0.023,0,0.088,20230401,20230630
NOOKSACK,3706,0.065,0.021,0,0.086,20230401,20230630
SUMAS,3707,0.065,0.021,0,0.086,20230401,20230630
LUMMI NATION - FERNDALE,3709,0.065,0.023,0,0.088,20230401,20230630
LUMMI NATION - WHATCOM COUNTY,3711,0.065,0.015,0,0.08,20230401,20230630
LUMMI NATION - BELLINGHAM,3713,0.065,0.023,0,0.088,20230401,20230630
WHATCOM-PTBA,3737,0.065,0.021,0,0.086,20230401,20230630
LUMMI NATION - WHATCOM-PTBA,3739,0.065,0.021,0,0.086,20230401,20230630
WHITMAN COUNTY,3800,0.065,0.014,0,0.079,20230401,20230630
ALBION,3801,0.065,0.014,0,0.079,20230401,20230630
COLFAX,3802,0.065,0.014,0,0.079,20230401,20230630
COLTON,3803,0.065,0.014,0,0.079,20230401,20230630
ENDICOTT,3804,0.065,0.014,0,0.079,20230401,20230630
FARMINGTON,3805,0.065,0.014,0,0.079,20230401,20230630
GARFIELD,3806,0.065,0.014,0,0.079,20230401,20230630
LA CROSSE,3807,0.065,0.014,0,0.079,20230401,20230630
LAMONT,3808,0.065,0.014,0,0.079,20230401,20230630
MALDEN,3809,0.065,0.014,0,0.079,20230401,20230630
OAKESDALE,3810,0.065,0.014,0,0.079,20230401,20230630
PALOUSE,3811,0.065,0.014,0,0.079,20230401,20230630
PULLMAN,3812,0.065,0.014,0,0.079,20230401,20230630
ROSALIA,3813,0.065,0.014,0,0.079,20230401,20230630
ST. JOHN,3814,0.065,0.014,0,0.079,20230401,20230630
TEKOA,3815,0.065,0.014,0,0.079,20230401,20230630
UNIONTOWN,3816,0.065,0.014,0,0.079,20230401,20230630
YAKIMA COUNTY,3900,0.065,0.015,0,0.08,20230401,20230630
GRANDVIEW,3901,0.065,0.015,0,0.08,20230401,20230630
